software mouseReMoCo;version 1.0.2;isWithLSL true;screenWidth 1920;screenHeight 1147;autoStart 3600;cycleMaxNumber 6;cycleDuration 20;borderColor java.awt.Color[r=255,g=255,b=255];backgroundColor java.awt.Color[r=0,g=0,b=0];cursorColorRecord java.awt.Color[r=255,g=0,b=0];cursorColorWait java.awt.Color[r=255,g=255,b=0];task circular;cornerX 467;cornerY 80;centerX 960;centerY 573;externalRadius 493;internalRadius 431;borderRadius 1;cursorRadius 16;indexOfDifficulty 99.98931100908203;taskRadius 461.5;taskTolerance 29
2022-02-07 16:32:43.206

timestamp,mouseX,mouseY,mouseInTarget
1644247997735,1395,718,1
1644247997743,1394,726,1
1644247997751,1393,736,1
1644247997758,1392,744,1
1644247997767,1390,752,1
1644247997776,1388,759,1
1644247997784,1388,763,1
1644247997792,1384,774,1
1644247997799,1383,777,1
1644247997808,1380,782,1
1644247997817,1377,791,1
1644247997824,1374,795,1
1644247997832,1372,800,1
1644247997841,1368,806,1
1644247997849,1366,811,1
1644247997857,1363,816,1
1644247997865,1360,824,1
1644247997875,1358,831,1
1644247997882,1356,837,1
1644247997889,1353,844,0
1644247997899,1353,847,0
1644247997907,1347,857,0
1644247997915,1346,859,0
1644247997925,1342,868,0
1644247997930,1338,871,0
1644247997940,1335,876,0
1644247997948,1331,879,0
1644247997956,1325,885,0
1644247997964,1320,889,0
1644247997972,1307,902,0
1644247997981,1298,912,0
1644247997991,1293,919,0
1644247997997,1284,930,0
1644247998005,1275,943,0
1644247998013,1267,954,0
1644247998023,1260,963,0
1644247998030,1257,966,0
1644247998038,1248,979,0
1644247998045,1246,981,0
1644247998054,1242,985,0
1644247998062,1238,988,0
1644247998071,1234,990,0
1644247998079,1229,993,0
1644247998086,1227,994,0
1644247998095,1224,996,0
1644247998104,1220,997,0
1644247998112,1217,998,0
1644247998120,1213,999,0
1644247998127,1210,1000,0
1644247998136,1206,1001,0
1644247998145,1203,1002,0
1644247998153,1201,1002,0
1644247998160,1198,1003,0
1644247998168,1195,1004,0
1644247998176,1192,1004,0
1644247998186,1189,1004,0
1644247998194,1187,1004,0
1644247998201,1185,1004,0
1644247998209,1183,1004,0
1644247998218,1181,1004,0
1644247998227,1179,1004,0
1644247998234,1177,1004,0
1644247998243,1175,1004,0
1644247998251,1170,1004,0
1644247998259,1168,1004,0
1644247998267,1162,1004,1
1644247998276,1158,1004,1
1644247998284,1151,1004,1
1644247998291,1148,1004,1
1644247998300,1139,1004,1
1644247998309,1132,1004,1
1644247998317,1130,1004,1
1644247998332,1118,1004,1
1644247998339,1110,1004,1
1644247998346,1102,1004,1
1644247998350,1095,1004,1
1644247998357,1087,1004,1
1644247998366,1077,1004,0
1644247998375,1069,1004,0
1644247998381,1061,1004,0
1644247998391,1054,1004,0
1644247998399,1051,1004,0
1644247998407,1039,1004,0
1644247998415,1037,1004,0
1644247998425,1032,1004,0
1644247998430,1028,1004,0
1644247998439,1025,1004,0
1644247998447,1022,1004,0
1644247998456,1019,1004,0
1644247998464,1018,1004,0
1644247998472,1016,1004,0
1644247998481,1015,1004,0
1644247998488,1014,1004,0
1644247998496,1013,1004,0
1644247998505,1012,1004,0
1644247998512,1011,1004,0
1644247998521,1010,1004,0
1644247998529,1009,1004,0
1644247998546,1008,1004,0
1644247998553,1007,1004,0
1644247998562,1006,1004,0
1644247998570,1004,1004,0
1644247998579,1003,1004,0
1644247998586,1001,1004,0
1644247998594,999,1004,0
1644247998604,995,1004,0
1644247998612,993,1004,0
1644247998619,990,1004,0
1644247998627,983,1004,0
1644247998635,977,1004,0
1644247998644,971,1004,0
1644247998652,964,1004,0
1644247998660,955,1004,0
1644247998669,945,1004,0
1644247998676,937,1004,0
1644247998686,928,1004,0
1644247998694,918,1004,0
1644247998701,909,1004,0
1644247998709,897,1004,0
1644247998718,895,1004,0
1644247999013,894,1004,0
1644247999022,891,1004,0
1644247999030,887,1006,0
1644247999038,883,1007,0
1644247999046,879,1008,0
1644247999054,876,1009,0
1644247999062,868,1010,0
1644247999071,860,1010,1
1644247999078,852,1011,1
1644247999087,844,1011,1
1644247999096,836,1011,1
1644247999104,828,1011,1
1644247999111,822,1011,1
1644247999119,815,1010,1
1644247999128,808,1007,1
1644247999137,801,1005,1
1644247999145,794,1000,1
1644247999153,786,997,1
1644247999160,779,992,1
1644247999169,772,987,1
1644247999178,764,981,1
1644247999186,757,977,1
1644247999194,749,970,1
1644247999202,741,965,1
1644247999210,733,959,1
1644247999219,728,955,0
1644247999226,720,949,0
1644247999234,713,945,0
1644247999243,706,940,0
1644247999252,703,938,0
1644247999259,693,931,0
1644247999268,687,928,1
1644247999276,685,927,1
1644247999283,675,922,1
1644247999293,673,921,1
1644247999300,669,919,1
1644247999310,665,917,1
1644247999316,662,915,1
1644247999324,659,914,1
1644247999333,656,912,1
1644247999343,650,909,1
1644247999350,647,905,1
1644247999357,643,902,1
1644247999365,640,899,1
1644247999376,635,894,1
1644247999382,631,890,1
1644247999390,628,885,1
1644247999398,624,881,1
1644247999406,620,875,1
1644247999415,616,870,1
1644247999426,610,862,1
1644247999431,605,853,1
1644247999439,600,845,1
1644247999447,594,837,1
1644247999457,588,827,1
1644247999465,583,819,1
1644247999473,578,808,1
1644247999481,575,800,0
1644247999493,571,791,0
1644247999498,569,782,0
1644247999505,567,774,0
1644247999513,566,770,0
1644247999521,563,758,0
1644247999530,563,756,0
1644247999538,561,751,0
1644247999548,560,744,0
1644247999554,559,736,0
1644247999920,558,733,0
1644247999930,556,730,0
1644247999935,553,724,0
1644247999945,548,717,0
1644247999953,545,709,0
1644247999960,540,700,0
1644247999968,536,692,0
1644247999976,533,684,0
1644247999986,530,677,0
